日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/03/01,"22,505,072","555,640,041",24.25,25,24.2,24.9,0.4,"6,721"
107/03/02,"13,587,935","334,477,571",24.5,24.8,24.35,24.7,-0.2,"3,888"
107/03/05,"13,399,913","331,916,663",24.6,24.95,24.55,24.85,0.15,"3,567"
107/03/06,"17,660,918","439,427,790",25.05,25.1,24.7,24.7,-0.15,"5,360"
107/03/07,"11,176,409","276,233,289",24.6,24.95,24.6,24.65,-0.05,"4,652"
107/03/08,"12,432,926","307,164,732",24.7,24.85,24.55,24.65,0,"4,057"
107/03/09,"43,259,110","1,098,909,707",25.1,25.7,24.95,25.4,0.75,"13,090"
107/03/12,"80,846,138","2,214,736,878",27.9,27.9,27,27.35,1.95,"24,056"
107/03/13,"38,721,430","1,060,456,393",27.3,27.7,27.05,27.35,0,"14,698"
107/03/14,"109,408,988","3,017,880,067",27.5,28.3,26.85,26.95,-0.4,"31,416"
107/03/15,"103,778,589","2,698,526,055",25.4,26.7,25.4,26.5,-0.45,"27,926"
107/03/16,"87,368,706","2,270,024,696",26.85,26.85,25.6,25.6,-0.9,"20,382"
107/03/19,"38,493,808","985,974,552",25.65,25.95,25.4,25.45,-0.15,"10,150"
107/03/20,"56,471,072","1,449,496,817",25.4,26.15,25,26.1,0.65,"12,767"
107/03/21,"34,702,229","909,251,976",26.1,26.4,26,26.1,0,"8,068"
107/03/22,"31,528,429","819,983,794",26.3,26.35,25.65,25.65,-0.45,"7,141"
107/03/23,"36,306,518","907,215,232",24.85,25.3,24.8,24.85,-0.8,"12,381"
107/03/26,"24,773,774","618,658,411",24.65,25.35,24.55,25.3,0.45,"6,128"
107/03/27,"33,423,828","854,053,630",25.7,25.9,25.35,25.7,0.4,"6,730"
107/03/28,"13,521,043","343,797,323",25.4,25.6,25.2,25.3,-0.4,"4,293"
107/03/29,"17,311,466","434,601,650",25.3,25.35,24.95,24.95,-0.35,"5,566"
107/03/30,"10,387,305","261,208,703",25.1,25.25,25,25.05,0.1,"3,417"
107/03/31,"7,351,433","183,508,375",25.1,25.25,24.8,24.9,-0.15,"3,002"
