日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,ROI
107/01/02,"16,779,888","401,800,454",24.3,24.3,23.7,23.8,-0.15,"6,600",
107/01/03,"16,275,539","385,260,426",23.8,24,23.55,23.6,-0.2,"6,898",
107/01/04,"13,062,636","306,034,366",23.6,23.7,23.35,23.45,-0.15,"6,124",
107/01/05,"9,525,083","224,670,498",23.4,23.8,23.4,23.65,0.2,"3,978",
107/01/08,"8,235,707","194,114,454",23.7,23.75,23.5,23.55,-0.1,"4,307",
107/01/09,"6,577,420","154,884,087",23.6,23.7,23.5,23.55,0,"2,864",
107/01/10,"8,927,388","208,085,380",23.55,23.6,23.2,23.3,-0.25,"3,318",
107/01/11,"7,982,026","186,880,177",23.45,23.5,23.3,23.45,0.15,"3,161",
107/01/12,"24,536,978","587,295,763",23.8,24.1,23.75,23.9,0.45,"8,458",
107/01/15,"7,867,384","188,327,493",24.05,24.1,23.75,23.95,0.05,"3,057",
107/01/16,"7,304,700","174,158,743",24,24,23.75,23.85,-0.1,"2,576",
107/01/17,"15,125,469","361,006,805",23.85,24,23.7,23.9,0.05,"4,345",
107/01/18,"18,715,309","448,072,207",24.05,24.1,23.75,23.75,-0.15,"5,430",
107/01/19,"9,669,562","230,116,884",23.9,23.95,23.7,23.8,0.05,"3,626",
107/01/22,"25,825,382","626,013,707",23.95,24.45,23.9,24.3,0.5,"7,667",
107/01/23,"44,119,770","1,092,751,032",24.7,25,24.45,24.9,0.6,"14,013",
107/01/24,"32,154,943","808,937,325",25.35,25.4,24.95,25.1,0.2,"12,058",
107/01/25,"17,863,833","442,235,196",25.1,25.1,24.6,24.6,-0.5,"7,394",
107/01/26,"13,580,559","331,207,157",24.3,24.5,24.3,24.4,-0.2,"4,713",
107/01/29,"10,885,230","263,852,047",24.55,24.55,24.1,24.3,-0.1,"4,013",
107/01/30,"13,447,452","328,781,500",24.25,24.7,24.15,24.45,0.15,"3,785",
107/01/31,"12,716,020","309,124,325",24.4,24.5,24.1,24.5,0.05,"3,393",
107/02/01,"11,093,501","268,942,943",24.35,24.45,24.15,24.2,-0.3,"4,372",
107/02/02,"10,761,050","261,124,032",24.1,24.4,24.1,24.2,0,"3,337",
107/02/05,"11,239,628","267,237,235",23.8,23.95,23.55,23.8,-0.4,"4,418",
107/02/06,"33,999,886","768,632,468",23.25,23.25,22.05,22.35,-1.45,"12,268",
107/02/07,"17,105,845","393,669,122",23,23.2,22.7,23.15,0.8,"5,995",
107/02/08,"10,823,741","249,684,697",23.25,23.45,23,23,-0.15,"4,495",
107/02/09,"16,448,474","371,631,552",22.45,22.95,22.2,22.7,-0.3,"6,324",
107/02/12,"10,894,072","249,781,056",23,23.1,22.8,22.9,0.2,"4,778",
107/02/21,"32,254,639","779,263,696",23.55,24.6,23.4,24.4,1.5,"10,277",
107/02/22,"30,095,711","739,819,396",24.3,24.8,24.05,24.5,0.1,"8,223",
107/02/23,"25,096,317","621,523,818",24.55,25.15,24.3,24.6,0.1,"7,331",
107/02/26,"12,944,768","317,542,013",24.8,25,24.3,24.3,-0.3,"3,802",
107/02/27,"27,728,738","683,973,758",24.5,24.95,24.35,24.5,0.2,"6,644",
107/03/01,"22,505,072","555,640,041",24.25,25,24.2,24.9,0.4,"6,721",
107/03/02,"13,587,935","334,477,571",24.5,24.8,24.35,24.7,-0.2,"3,888",
107/03/05,"13,399,913","331,916,663",24.6,24.95,24.55,24.85,0.15,"3,567",
107/03/06,"17,660,918","439,427,790",25.05,25.1,24.7,24.7,-0.15,"5,360",
107/03/07,"11,176,409","276,233,289",24.6,24.95,24.6,24.65,-0.05,"4,652",
107/03/08,"12,432,926","307,164,732",24.7,24.85,24.55,24.65,0,"4,057",
107/03/09,"43,259,110","1,098,909,707",25.1,25.7,24.95,25.4,0.75,"13,090",
107/03/12,"80,846,138","2,214,736,878",27.9,27.9,27,27.35,1.95,"24,056",
107/03/13,"38,721,430","1,060,456,393",27.3,27.7,27.05,27.35,0,"14,698",
107/03/14,"109,408,988","3,017,880,067",27.5,28.3,26.85,26.95,-0.4,"31,416",
107/03/15,"103,778,589","2,698,526,055",25.4,26.7,25.4,26.5,-0.45,"27,926",
107/03/16,"87,368,706","2,270,024,696",26.85,26.85,25.6,25.6,-0.9,"20,382",
107/03/19,"38,493,808","985,974,552",25.65,25.95,25.4,25.45,-0.15,"10,150",
107/03/20,"56,471,072","1,449,496,817",25.4,26.15,25,26.1,0.65,"12,767",
107/03/21,"34,702,229","909,251,976",26.1,26.4,26,26.1,0,"8,068",
107/03/22,"31,528,429","819,983,794",26.3,26.35,25.65,25.65,-0.45,"7,141",
107/03/23,"36,306,518","907,215,232",24.85,25.3,24.8,24.85,-0.8,"12,381",
107/03/26,"24,773,774","618,658,411",24.65,25.35,24.55,25.3,0.45,"6,128",
107/03/27,"33,423,828","854,053,630",25.7,25.9,25.35,25.7,0.4,"6,730",
107/03/28,"13,521,043","343,797,323",25.4,25.6,25.2,25.3,-0.4,"4,293",
107/03/29,"17,311,466","434,601,650",25.3,25.35,24.95,24.95,-0.35,"5,566",
107/03/30,"10,387,305","261,208,703",25.1,25.25,25,25.05,0.1,"3,417",
107/03/31,"7,351,433","183,508,375",25.1,25.25,24.8,24.9,-0.15,"3,002",
107/04/02,"16,141,662","397,559,933",25,25.05,24.3,24.55,-0.35,"5,498",
107/04/03,"41,882,278","1,014,229,802",24.35,24.35,23.95,24,-0.55,"9,887",
107/04/09,"21,828,941","520,461,956",24.5,24.5,23.7,23.7,-0.3,"7,553",
107/04/10,"24,871,211","593,424,793",23.85,24.15,23.7,23.7,0,"5,754",
107/04/11,"12,600,639","302,611,012",24.1,24.25,23.85,23.95,0.25,"4,042",
107/04/12,"22,087,559","533,420,090",24.3,24.35,24,24.1,0.15,"6,974",
107/04/13,"15,946,576","381,150,974",24.15,24.2,23.8,23.8,-0.3,"5,527",
107/04/16,"8,718,152","207,548,881",23.8,24.05,23.65,23.7,-0.1,"3,499",
107/04/17,"15,329,064","368,243,772",23.85,24.3,23.5,24.25,0.55,"5,421",
107/04/18,"15,721,610","378,590,574",24.4,24.4,23.85,23.85,-0.4,"5,432",
107/04/19,"10,951,126","263,782,366",23.9,24.25,23.85,24.25,0.4,"3,694",
107/04/20,"12,815,263","307,008,562",24.2,24.2,23.85,23.9,-0.35,"3,267",
107/04/23,"6,400,134","153,829,401",23.95,24.15,23.9,24.1,0.2,"2,571",
107/04/24,"11,893,211","283,541,199",24.2,24.25,23.7,23.7,-0.4,"4,217",
107/04/25,"23,643,640","559,243,556",23.6,23.9,23.45,23.5,-0.2,"5,089",
107/04/26,"18,452,981","436,800,369",23.7,23.85,23.5,23.6,0.1,"4,807",
107/04/27,"15,390,003","361,665,340",23.7,23.75,23.3,23.65,0.05,"5,062",
107/04/30,"11,401,464","270,035,753",23.65,23.8,23.55,23.7,0.05,"2,883",
107/05/02,"9,897,512","235,778,800",23.8,23.95,23.7,23.9,0.2,"4,059",
107/05/03,"18,463,636","439,628,167",23.9,23.95,23.65,23.8,-0.1,"4,448",
107/05/04,"17,000,218","400,554,962",23.8,23.85,23.4,23.4,-0.4,"5,887",
107/05/07,"25,971,143","619,811,157",23.5,24.3,23.4,24.2,0.8,"7,062",
107/05/08,"13,037,653","311,627,387",24.1,24.1,23.75,23.85,-0.35,"4,315",
107/05/09,"9,939,189","236,823,281",23.8,24.05,23.7,23.7,-0.15,"3,216",
107/05/10,"23,290,031","546,021,420",23.7,23.7,23.2,23.45,-0.25,"6,726",
107/05/11,"19,429,900","451,940,539",23.3,23.45,23.1,23.15,-0.3,"6,298",
107/05/14,"19,518,543","459,415,359",23.35,23.8,23.25,23.65,0.5,"5,104",
107/05/15,"28,644,767","669,262,430",23.75,23.85,23.15,23.15,-0.5,"7,343",
107/05/16,"23,491,029","543,736,034",23.15,23.3,23.05,23.1,-0.05,"5,951",
107/05/17,"12,588,154","292,236,644",23.2,23.4,23.1,23.1,0,"3,646",
107/05/18,"13,479,765","311,341,277",23.1,23.25,23,23,-0.1,"3,528",
107/05/21,"24,025,226","563,430,149",23.1,23.65,23.1,23.4,0.4,"6,655",
107/05/22,"18,021,683","423,966,081",23.4,23.65,23.4,23.5,0.1,"5,072",
107/05/23,"16,844,356","391,511,897",23.4,23.5,23.15,23.2,-0.3,"5,196",
107/05/24,"11,420,947","264,701,989",23.2,23.3,23.1,23.2,0,"3,990",
107/05/25,"12,258,110","285,755,979",23.3,23.4,23.25,23.3,0.1,"3,278",
107/05/28,"8,785,543","205,186,580",23.3,23.45,23.3,23.35,0.05,"2,708",
107/05/29,"12,407,183","287,995,879",23.35,23.35,23.1,23.15,-0.2,"3,784",
107/05/30,"22,815,472","522,611,506",23.05,23.1,22.8,22.8,-0.35,"8,569",
107/05/31,"30,357,815","692,142,840",23,23.2,22.55,22.55,-0.25,"7,543",
107/06/01,"15,995,302","367,878,037",22.8,23.15,22.75,23.05,0.5,"4,730",
107/06/04,"22,442,234","526,428,615",23.2,23.7,23.1,23.55,0.5,"8,307",
107/06/05,"13,698,595","320,265,251",23.55,23.55,23.3,23.3,-0.25,"4,613",
107/06/06,"11,376,399","266,426,652",23.3,23.5,23.3,23.45,0.15,"5,617",
107/06/07,"10,773,881","252,596,319",23.5,23.6,23.35,23.45,0,"4,359",
107/06/08,"7,618,107","178,757,130",23.6,23.6,23.4,23.4,-0.05,"2,904",
107/06/11,"10,355,050","243,577,578",23.6,23.6,23.45,23.55,0.15,"3,418",
107/06/12,"10,513,758","245,808,756",23.5,23.5,23.3,23.3,-0.25,"4,060",
107/06/13,"14,462,190","339,765,568",23.4,23.8,23.3,23.35,0.05,"4,181",
107/06/14,"8,904,235","207,873,370",23.3,23.45,23.25,23.4,0.05,"3,504",
107/06/15,"20,735,128","483,196,319",23.5,23.55,23.2,23.2,-0.2,"4,689",
107/06/19,"21,706,143","497,445,989",23.05,23.1,22.8,22.85,-0.35,"7,961",
107/06/20,"13,042,992","297,957,490",22.9,23.05,22.7,23,0.15,"5,081",
107/06/21,"7,656,336","175,215,878",23,23.05,22.8,22.85,-0.15,"2,929",
