日期,臺灣50指數,臺灣50報酬指數,ROI
2019/6/3,"7,869.97","14,194.24",0
2019/6/4,"7,796.20","14,061.18",-0.00937
2019/6/5,"7,817.90","14,100.32",0.00278
2019/6/6,"7,779.58","14,031.21",-0.0049
2019/6/10,"7,924.32","14,292.25",0.0186
2019/6/11,"7,966.71","14,368.71",0.00535
2019/6/12,"7,980.54","14,393.65",0.00174
2019/6/13,"7,914.38","14,274.33",-0.00829
2019/6/14,"7,868.56","14,191.70",-0.00579
2019/6/17,"7,854.66","14,166.62",-0.00177
2019/6/18,"7,898.31","14,245.35",0.00556
2019/6/19,"8,078.54","14,570.41",0.02282
2019/6/20,"8,085.43","14,588.50",0.00124
2019/6/21,"8,113.91","14,639.88",0.00352
2019/6/24,"8,054.89","14,699.94",0.0041
2019/6/25,"7,994.40","14,589.55",-0.00751
2019/6/26,"7,924.34","14,480.08",-0.0075
2019/6/27,"8,045.12","14,700.78",0.01524
2019/6/28,"8,008.17","14,633.25",-0.00459
