日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,ROI
108/05/02,"3,204,378","119,874,603",37.6,37.7,37.3,37.4,-0.2,"1,896",0
108/05/03,"3,280,722","122,809,677",37.5,37.5,37.35,37.5,0.1,"1,805",0.267379679
108/05/06,"4,188,908","156,763,081",37.4,37.8,37.3,37.4,-0.1,"2,135",-0.266666667
108/05/07,"5,305,696","198,491,419",37.5,37.55,37.35,37.35,-0.05,"2,651",-0.13368984
108/05/08,"4,976,144","185,498,326",37.3,37.35,37.1,37.35,0,"1,801",0
108/05/09,"10,387,689","382,968,048",37.2,37.25,36.5,36.55,-0.8,"5,049",-2.141900937
108/05/10,"6,616,930","242,646,450",36.55,36.9,36.5,36.6,0.05,"3,914",0.136798906
108/05/13,"21,507,013","829,062,344",37,39.5,36.75,38.95,2.35,"8,945",6.420765027
108/05/14,"18,394,178","717,071,959",38.8,39.6,38.6,39.2,0.25,"9,304",0.641848524
108/05/15,"26,760,663","1,089,312,259",40,41.5,39.85,41.25,2.05,"10,212",5.229591837
108/05/16,"14,330,074","585,541,621",41.25,41.6,40.3,40.45,-0.8,"6,882",-1.939393939
108/05/17,"9,229,522","373,667,043",40.55,41.1,40.1,40.15,-0.3,"5,043",-0.741656366
108/05/20,"13,305,041","546,535,484",40.5,41.8,40.2,40.55,0.4,"6,090",0.99626401
108/05/21,"13,218,672","546,118,460",41,41.7,40.85,41.7,1.15,"6,869",2.836004932
108/05/22,"17,926,624","765,435,263",42.4,43.15,42.05,42.7,1,"9,043",2.398081535
108/05/23,"13,781,434","587,411,552",42.75,43,41.9,42.7,0,"6,941",0
108/05/24,"10,299,691","440,913,063",43,43.3,42.35,42.95,0.25,"5,880",0.585480094
108/05/27,"6,148,258","264,776,042",43.3,43.5,42.85,43.05,0.1,"3,338",0.232828871
108/05/28,"27,922,110","1,156,908,177",43.05,43.05,40.55,41,-2.05,"10,846",-4.761904762
108/05/29,"14,659,461","609,512,562",40.8,42,40.2,42,1,"6,695",2.43902439
108/05/30,"15,281,943","655,405,367",42.3,43.2,42.3,43.1,1.1,"6,617",2.619047619
108/05/31,"12,347,807","533,520,348",43.2,43.5,42.6,43.5,0.4,"5,565",0.928074246
